Symbol	Timeframes	DateTime	Open	High	Low	Close	BaseReturn	MidReturn	HigherReturn	BaseMidCorr	BaseHigherCorr	MidHigherCorr	ZScore	SignalType	CorrelationState	PostSignal1Bar(%)	PostSignal5Bars(%)	PostSignal10Bars(%)
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 03:55	3027.80000	3029.56000	3027.40000	3029.41000	1.58000	0.00000	0.00000	0.106	0.000	0.000	2.083	Divergence Warning	Diverging	0.01	0.04	0.12
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 04:00	3029.36000	3030.15000	3029.01000	3029.83000	0.42000	0.00000	0.00000	0.102	0.000	0.000	0.626	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 04:05	3029.85000	3030.89000	3029.58000	3029.92000	0.09000	0.00000	0.00000	0.084	0.000	0.000	0.253	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 04:10	3029.97000	3032.37000	3029.94000	3031.38000	1.46000	0.00000	0.00000	0.109	0.000	0.000	1.816	Divergence Warning	Diverging	0.00	0.04	0.05
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 04:15	3031.36000	3031.81000	3030.69000	3031.44000	0.06000	0.00000	0.00000	0.101	0.000	0.000	0.142	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 04:20	3031.44000	3031.61000	3030.37000	3030.49000	-0.95000	0.00000	0.00000	0.104	0.000	0.000	-1.028	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 04:25	3030.38000	3030.67000	3029.72000	3029.72000	-0.77000	0.00000	0.00000	0.117	0.000	0.000	-0.822	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 04:30	3029.82000	3032.87000	3029.67000	3031.59000	1.87000	0.00000	0.00000	0.157	0.000	0.000	2.033	Divergence Warning	Diverging	0.03	0.06	0.13
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 04:35	3031.72000	3032.69000	3031.00000	3032.60000	1.01000	0.00000	0.00000	0.170	0.000	0.000	1.034	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 04:40	3032.63000	3033.26000	3032.28000	3032.65000	0.05000	0.00000	0.00000	0.169	0.000	0.000	-0.000	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 04:45	3032.78000	3033.77000	3032.42000	3032.96000	0.31000	0.00000	0.00000	0.176	0.000	0.000	0.265	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 04:50	3033.02000	3033.32000	3032.47000	3032.78000	-0.18000	0.00000	0.00000	0.220	0.000	0.000	-0.228	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 04:55	3032.93000	3033.44000	3032.56000	3033.38000	0.60000	0.00000	0.00000	0.188	0.000	0.000	0.688	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 05:00	3033.42000	3033.70000	3032.41000	3033.03000	-0.35000	0.00000	0.00000	0.213	0.000	0.000	-0.407	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 05:05	3033.03000	3034.47000	3032.90000	3034.01000	0.98000	0.00000	0.00000	0.202	0.000	0.000	1.056	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 05:10	3034.08000	3035.54000	3033.82000	3034.86000	0.85000	0.00000	0.00000	0.058	0.000	0.000	0.870	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 05:15	3034.75000	3035.69000	3034.06000	3035.48000	0.62000	0.00000	0.00000	0.051	0.000	0.000	0.566	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 05:20	3035.50000	3035.57000	3034.98000	3035.40000	-0.08000	0.00000	0.00000	0.043	0.000	0.000	-0.224	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 05:25	3035.29000	3035.39000	3034.38000	3034.52000	-0.88000	0.00000	0.00000	0.084	0.000	0.000	-1.096	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 05:30	3034.53000	3035.37000	3033.99000	3035.23000	0.71000	0.00000	0.00000	0.162	0.000	0.000	0.625	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 05:35	3035.28000	3035.72000	3034.70000	3035.20000	-0.03000	0.00000	0.00000	0.151	0.000	0.000	-0.199	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 05:40	3035.37000	3036.12000	3034.87000	3035.42000	0.22000	0.00000	0.00000	0.104	0.000	0.000	0.024	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 05:45	3035.39000	3036.91000	3035.35000	3036.11000	0.69000	0.00000	0.00000	0.156	0.000	0.000	0.586	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 05:50	3036.09000	3037.96000	3036.07000	3037.58000	1.47000	0.00000	0.00000	0.079	0.000	0.000	1.537	Divergence Warning	Diverging	-0.04	-0.02	-0.04
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 05:55	3037.57000	3038.89000	3036.27000	3036.35000	-1.23000	0.00000	0.00000	0.106	0.000	0.000	-1.778	Divergence Warning	Diverging	-0.03	0.01	-0.01
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 06:00	3036.13000	3036.29000	3035.04000	3035.34000	-1.01000	0.00000	0.00000	0.089	0.000	0.000	-1.512	Divergence Warning	Diverging	-0.01	0.05	0.04
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 06:05	3035.36000	3035.42000	3034.24000	3035.11000	-0.23000	0.00000	0.00000	0.083	0.000	0.000	-0.546	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 06:10	3035.12000	3035.66000	3034.75000	3035.13000	0.02000	0.00000	0.00000	0.080	0.000	0.000	-0.272	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 06:15	3035.13000	3037.11000	3034.90000	3036.93000	1.80000	0.00000	0.00000	0.056	0.000	0.000	1.796	Divergence Warning	Diverging	-0.01	-0.02	0.02
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 06:20	3036.93000	3037.10000	3036.06000	3036.60000	-0.33000	0.00000	0.00000	-0.002	0.000	0.000	-0.746	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 06:25	3036.57000	3037.58000	3036.47000	3036.97000	0.37000	0.00000	0.00000	0.004	0.000	0.000	0.148	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 06:30	3036.89000	3037.03000	3036.27000	3036.27000	-0.70000	0.00000	0.00000	0.011	0.000	0.000	-1.121	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 06:35	3036.27000	3036.91000	3036.10000	3036.10000	-0.17000	0.00000	0.00000	0.012	0.000	0.000	-0.459	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 06:40	3036.09000	3036.49000	3035.71000	3036.25000	0.15000	0.00000	0.00000	-0.020	0.000	0.000	-0.016	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 06:45	3036.37000	3036.38000	3035.69000	3035.97000	-0.28000	0.00000	0.00000	-0.031	0.000	0.000	-0.546	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 06:50	3035.96000	3036.81000	3035.95000	3036.55000	0.58000	0.00000	0.00000	-0.042	0.000	0.000	0.494	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 06:55	3036.54000	3036.58000	3034.76000	3036.43000	-0.12000	0.00000	0.00000	-0.062	0.000	0.000	-0.460	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 07:00	3036.49000	3037.66000	3036.49000	3037.29000	0.86000	0.00000	0.00000	-0.094	0.000	0.000	0.968	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 07:05	3037.31000	3037.91000	3037.02000	3037.50000	0.21000	0.00000	0.00000	-0.111	0.000	0.000	0.069	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 07:10	3037.48000	3038.76000	3037.35000	3038.47000	0.97000	0.00000	0.00000	-0.114	0.000	0.000	1.124	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 07:15	3038.44000	3039.33000	3038.03000	3038.23000	-0.24000	0.00000	0.00000	-0.133	0.000	0.000	-0.599	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 07:20	3038.36000	3038.63000	3037.19000	3038.59000	0.36000	0.00000	0.00000	-0.139	0.000	0.000	0.240	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 07:25	3038.63000	3038.63000	3037.13000	3037.54000	-1.05000	0.00000	0.00000	-0.136	0.000	0.000	-1.646	Divergence Warning	Diverging	0.07	0.17	0.01
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 07:30	3037.19000	3039.81000	3037.19000	3039.72000	2.18000	0.00000	0.00000	-0.149	0.000	0.000	2.436	Divergence Warning	Diverging	0.05	0.16	-0.07
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 07:35	3039.73000	3043.04000	3039.62000	3041.38000	1.66000	0.00000	0.00000	-0.145	0.000	0.000	1.697	Divergence Warning	Diverging	0.00	0.08	-0.15
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 07:40	3041.50000	3042.59000	3040.81000	3041.51000	0.13000	0.00000	0.00000	-0.074	0.000	0.000	-0.111	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 07:45	3041.53000	3042.71000	3041.43000	3042.08000	0.57000	0.00000	0.00000	-0.160	0.000	0.000	0.424	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 07:50	3042.05000	3042.81000	3041.51000	3042.80000	0.72000	0.00000	0.00000	-0.156	0.000	0.000	0.572	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 07:55	3042.79000	3045.32000	3042.79000	3044.50000	1.70000	0.00000	0.00000	-0.225	0.000	0.000	1.627	Divergence Warning	Diverging	-0.02	-0.23	-0.09
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 08:00	3044.51000	3044.55000	3043.18000	3043.85000	-0.65000	0.00000	0.00000	-0.345	0.000	0.000	-1.096	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 08:05	3043.83000	3044.74000	3042.83000	3042.99000	-0.86000	0.00000	0.00000	-0.329	0.000	0.000	-1.275	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 08:10	3042.98000	3042.98000	3037.03000	3038.50000	-4.49000	0.00000	0.00000	-0.278	0.000	0.000	-3.752	Divergence Warning	Diverging	-0.03	-0.03	0.08
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 08:15	3038.36000	3040.99000	3037.60000	3037.71000	-0.79000	0.00000	0.00000	-0.165	0.000	0.000	-0.686	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 08:20	3037.54000	3038.53000	3034.52000	3037.50000	-0.21000	0.00000	0.00000	-0.076	0.000	0.000	-0.173	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 08:25	3037.51000	3038.74000	3036.30000	3036.73000	-0.77000	0.00000	0.00000	-0.134	0.000	0.000	-0.658	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 08:30	3036.72000	3036.92000	3034.66000	3036.46000	-0.27000	0.00000	0.00000	-0.146	0.000	0.000	-0.262	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 08:35	3036.48000	3038.51000	3036.45000	3037.67000	1.21000	0.00000	0.00000	-0.133	0.000	0.000	0.943	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 08:40	3037.81000	3040.22000	3037.01000	3039.99000	2.32000	0.00000	0.00000	0.039	0.000	0.000	1.716	Divergence Warning	Diverging	0.06	0.05	0.06
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 08:45	3039.99000	3042.09000	3039.84000	3041.72000	1.73000	0.00000	0.00000	0.102	0.000	0.000	1.252	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 08:50	3041.72000	3043.79000	3041.51000	3043.75000	2.03000	0.00000	0.00000	0.152	0.000	0.000	1.384	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 08:55	3043.67000	3043.91000	3040.88000	3042.02000	-1.73000	0.00000	0.00000	0.177	0.000	0.000	-1.415	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 09:00	3042.00000	3042.90000	3040.81000	3040.87000	-1.15000	0.00000	0.00000	0.099	0.000	0.000	-0.963	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 09:05	3040.88000	3041.75000	3040.28000	3041.51000	0.64000	0.00000	0.00000	0.111	0.000	0.000	0.339	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 09:10	3041.53000	3042.18000	3039.33000	3039.93000	-1.58000	0.00000	0.00000	0.118	0.000	0.000	-1.224	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 09:15	3039.89000	3040.26000	3038.78000	3039.71000	-0.22000	0.00000	0.00000	0.118	0.000	0.000	-0.248	None	Diverging	0.00	0.00	0.00
